p1	p2	interaction
Q14566	Q9Y5N6	reaction
Q9Y5N6	O43929	binding
O43929	Q9Y5N6	binding
Q9Y5N6	P27694	binding
P27694	Q9Y5N6	binding
Q9Y5N6	Q9UFC0	binding
Q9UFC0	Q9Y5N6	binding
P31146	O15144	binding
O15144	P31146	binding
P31146	Q9NWB7	binding
Q9NWB7	P31146	binding
P31146	Q9GZR7	binding
Q9GZR7	P31146	binding
P31146	P61160	binding
P61160	P31146	binding
P61970	Q14974	reaction
Q14974	P61970	reaction
P61970	P37198	binding
P37198	P61970	binding
P61970	Q9H1M0	binding
Q9H1M0	P61970	binding
P61970	P35658	activation
P61970	P46060	activation
P61970	P49790	activation
P61970	P18754	activation
P61970	P52292	reaction
P61970	P62826	reaction
P62826	P61970	reaction
P61970	Q7Z3B4	binding
Q7Z3B4	P61970	binding
P61970	P43487	activation
P23435	Q6UW01	binding
Q6UW01	P23435	binding
Q9Y2Y0	Q9Y6A4	binding
Q9Y6A4	Q9Y2Y0	binding
Q9Y2Y0	P36405	binding
P36405	Q9Y2Y0	binding
Q9Y2Y0	P36404	binding
P36404	Q9Y2Y0	binding
O00626	P51685	binding
P51685	O00626	binding
O00626	P51681	activation
P51681	O00626	activation
O00626	P61073	activation
P61073	O00626	activation
O00626	P51677	activation
P51677	O00626	activation
O00626	P51684	activation
P51684	O00626	activation
O00626	P51686	binding
P51686	O00626	binding
O00626	P46092	activation
P46092	O00626	activation
O00626	P46094	binding
P46094	O00626	binding
O00626	P25025	binding
P25025	O00626	binding
P41597	O00626	activation
O00626	P49682	activation
P49682	O00626	activation
O00626	P32246	activation
P32246	O00626	activation
O00626	P32302	activation
P32302	O00626	activation
O00626	P51679	binding
P51679	O00626	binding
O00626	P25024	activation
P25024	O00626	activation
Q02127	P00387	binding
P00387	Q02127	binding
Q02127	Q14195	binding
Q14195	Q02127	binding
Q02127	Q96HP4	binding
Q96HP4	Q02127	binding
Q02127	Q14194	binding
Q14194	Q02127	binding
Q02127	Q6IPT4	binding
Q6IPT4	Q02127	binding
Q02127	Q7L1T6	binding
Q7L1T6	Q02127	binding
Q02127	Q16555	binding
Q16555	Q02127	binding
Q02127	Q9UHQ9	binding
Q9UHQ9	Q02127	binding
Q02127	Q14117	binding
Q14117	Q02127	binding
Q02127	Q6BCY4	binding
Q6BCY4	Q02127	binding
Q02127	Q9BPU6	binding
Q9BPU6	Q02127	binding
Q02127	P22570	binding
P22570	Q02127	binding
Q02127	O14531	binding
O14531	Q02127	binding
Q92583	P32246	binding
P32246	Q92583	binding
Q92583	P32302	activation
P32302	Q92583	activation
Q92583	P51684	activation
P51684	Q92583	activation
Q92583	P46092	binding
P46092	Q92583	binding
Q92583	P46094	binding
P46094	Q92583	binding
Q92583	P51681	activation
P51681	Q92583	activation
Q92583	P25024	activation
P25024	Q92583	activation
Q92583	P51686	activation
P51686	Q92583	activation
Q92583	P51685	activation
P51685	Q92583	activation
Q92583	P61073	binding
P61073	Q92583	binding
Q92583	P25025	activation
P25025	Q92583	activation
Q92583	P41597	binding
P41597	Q92583	binding
Q92583	P49682	binding
P49682	Q92583	binding
Q92583	P51679	binding
P51679	Q92583	binding
Q92583	P51677	binding
P51677	Q92583	binding
P19387	Q09472	binding
Q09472	P19387	binding
P19387	Q6P1K8	binding
Q6P1K8	P19387	binding
P19387	O15514	catalysis
P19387	A6H8Y1	binding
A6H8Y1	P19387	binding
P33240	P19387	catalysis
P19387	P35269	binding
P35269	P19387	binding
Q8TBF4	P19387	reaction
P25490	P19387	reaction
P19387	P28715	reaction
P28715	P19387	reaction
P19387	Q9GZS1	binding
Q9GZS1	P19387	binding
Q9H0L4	P19387	reaction
Q969L4	P19387	catalysis
P19387	Q9GZM3	reaction
P19387	P23025	reaction
P23025	P19387	reaction
P19387	O60264	binding
O60264	P19387	binding
P19387	Q9NQG5	reaction
Q9NQG5	P19387	reaction
P19387	Q9Y2X3	binding
Q9Y2X3	P19387	binding
P19387	O95619	reaction
P19387	Q14978	binding
Q14978	P19387	binding
P19387	P32780	reaction
P32780	P19387	reaction
P19387	Q9NRZ9	binding
Q9NRZ9	P19387	binding
P19387	Q8N8B7	binding
Q8N8B7	P19387	binding
P19387	Q13889	catalysis
O43390	P19387	catalysis
P19387	Q93009	reaction
Q93009	P19387	reaction
Q9UQ84	P19387	reaction
P19387	O15194	binding
O15194	P19387	binding
P19387	P03372	reaction
P03372	P19387	reaction
P19387	P62380	reaction
P19387	Q08945	catalysis
P19387	O75909	binding
O75909	P19387	binding
P19387	P63272	reaction
P62875	P19387	catalysis
P19387	P29084	reaction
P29084	P19387	reaction
P67809	P19387	reaction
P19387	Q2NKX8	binding
Q2NKX8	P19387	binding
P19387	Q6ZYL4	reaction
Q9Y5B0	P19387	reaction
P19387	P53803	reaction
O60583	P19387	catalysis
P19387	O14802	catalysis
P19387	P62487	catalysis
P19387	Q5T890	reaction
Q5T890	P19387	reaction
P19387	Q15542	catalysis
O15054	P19387	reaction
P19387	Q9UNN4	reaction
P19387	Q13435	binding
Q13435	P19387	binding
P19387	Q6SJ96	binding
Q6SJ96	P19387	binding
P19387	Q6ZXV5	binding
Q6ZXV5	P19387	binding
P19387	P62979	reaction
P62979	P19387	reaction
P23193	P19387	reaction
P19387	P62913	catalysis
P0CG47	P19387	reaction
P19387	Q8WVY7	reaction
Q8WVY7	P19387	reaction
P51946	P19387	catalysis
P19387	Q9NZ71	reaction
Q9NZ71	P19387	reaction
P19387	Q14527	reaction
Q14527	P19387	reaction
P19387	Q14241	catalysis
P13984	P19387	reaction
P19387	O95476	reaction
Q8IZL9	P19387	catalysis
P19387	P05412	reaction
P19387	Q68E01	binding
Q68E01	P19387	binding
P19387	O15550	reaction
P19387	P52272	activation
P19387	P08047	reaction
P08047	P19387	reaction
P19387	Q9Y2Y1	binding
Q9Y2Y1	P19387	binding
P19387	Q13325	binding
Q13325	P19387	binding
P19387	Q01085	activation
P19387	Q16560	reaction
Q05D32	P19387	reaction
P19387	P25208	reaction
Q15560	P19387	catalysis
P19387	Q96DH6	catalysis
P19387	Q9H1A7	reaction
P19387	O95602	binding
O95602	P19387	binding
P19387	O75764	catalysis
P19387	Q5T4D3	binding
Q5T4D3	P19387	binding
P19387	P19447	reaction
P19447	P19387	reaction
P19387	Q92759	reaction
Q96FC9	P19387	catalysis
P19387	Q03111	reaction
Q03111	P19387	reaction
Q9HAW0	P19387	catalysis
P19387	Q13888	binding
Q13888	P19387	binding
P19387	P19388	inhibition
P19387	Q17RS7	reaction
Q96EP5	P19387	reaction
P19387	Q5SXM2	reaction
Q5SXM2	P19387	reaction
P19387	Q96CB8	binding
Q96CB8	P19387	binding
P19387	Q8IXH7	catalysis
Q9H3P2	P19387	reaction
P19387	Q13243	catalysis
P19387	Q9H9Y6	reaction
Q9H9Y6	P19387	reaction
P19387	Q8IXW5	binding
Q8IXW5	P19387	binding
P19387	P20226	reaction
P19387	Q6PD62	binding
Q6PD62	P19387	binding
P19387	P09651	catalysis
P19387	P09913	binding
P09913	P19387	binding
P19387	P49711	reaction
P19387	P18615	reaction
P18615	P19387	reaction
Q9BX46	P19387	catalysis
P19387	O94913	binding
O94913	P19387	binding
P19387	Q9ULM3	binding
Q9ULM3	P19387	binding
P19387	P29083	binding
P29083	P19387	binding
O14595	P19387	catalysis
Q8WVC0	P19387	reaction
P19387	Q8N5C6	reaction
Q8N5C6	P19387	reaction
P52434	P19387	catalysis
P19387	Q96MN5	catalysis
P19387	P51948	catalysis
P52657	P19387	catalysis
P19387	P36954	activation
P50613	P19387	reaction
Q9H1D9	P19387	reaction
P19387	Q8TCS8	binding
Q8TCS8	P19387	binding
P19387	Q496Y0	binding
Q496Y0	P19387	binding
P17844	P19387	catalysis
P19387	Q12962	binding
Q12962	P19387	binding
P19387	Q92804	reaction
P19387	Q13247	reaction
Q6P1J9	P19387	reaction
O43809	P19387	reaction
P19387	P62995	binding
P62995	P19387	binding
P19387	O15294	binding
O15294	P19387	binding
Q08170	P19387	catalysis
Q9BUQ8	P19387	reaction
P19387	P30876	inhibition
Q8WWY3	P19387	reaction
O00267	P19387	catalysis
P19387	P40937	reaction
P19387	O00567	reaction
P19387	Q13151	binding
Q13151	P19387	binding
P19387	Q9H0H0	binding
Q9H0H0	P19387	binding
P19387	P09914	binding
P09914	P19387	binding
P19387	P05423	reaction
P05423	P19387	reaction
P19387	Q86XP3	binding
Q86XP3	P19387	binding
P19387	P11161	reaction
P19387	Q14103	catalysis
P19387	O43918	binding
O43918	P19387	binding
P19387	Q8N201	reaction
Q8N201	P19387	reaction
P19387	O94888	binding
O94888	P19387	binding
P19387	P07910	catalysis
P19387	P61218	inhibition
P19387	Q99459	catalysis
Q16514	P19387	catalysis
P19387	Q9BUI4	reaction
P19387	O15379	reaction
O15379	P19387	reaction
O60942	P19387	catalysis
Q6P9B9	P19387	reaction
P19387	P18074	reaction
P18074	P19387	reaction
P19387	O43347	binding
O43347	P19387	binding
P10242	P19387	activation
Q7L014	P19387	reaction
P19387	P52298	reaction
P19387	Q09161	binding
Q09161	P19387	binding
P39748	P19387	reaction
P19387	Q9BX63	catalysis
O75575	P19387	reaction
P19387	Q13242	reaction
Q13242	P19387	reaction
P19387	P30793	binding
P30793	P19387	binding
P19387	O60563	reaction
O60563	P19387	reaction
P19387	Q9NP77	activation
P52435	P19387	activation
Q9NVR2	P19387	catalysis
Q3ZCQ8	P19387	reaction
P19387	O14879	binding
O14879	P19387	binding
Q92541	P19387	reaction
P19387	P31483	activation
P19387	Q07955	catalysis
P19387	P52655	reaction
P19387	O43143	binding
O43143	P19387	binding
P19387	Q9UIM3	binding
Q9UIM3	P19387	binding
P19387	P62314	catalysis
P19387	P51991	reaction
P19387	Q96BD5	binding
Q96BD5	P19387	binding
P19387	Q9C0J8	catalysis
P19387	Q15910	reaction
Q15910	P19387	reaction
P19387	Q9BWH6	binding
Q9BWH6	P19387	binding
P19387	O76064	binding
O76064	P19387	binding
P19387	Q1L5Z9	binding
Q1L5Z9	P19387	binding
O43290	P19387	reaction
Q9NW08	P19387	catalysis
P19387	P14618	binding
P14618	P19387	binding
P19387	P30613	binding
P30613	P19387	binding
P19387	Q9UL03	reaction
Q9UL03	P19387	reaction
Q00403	P19387	catalysis
Q9GZU7	P19387	reaction
P11142	P19387	catalysis
P19387	P42568	reaction
P22626	P19387	reaction
P19387	P0CG48	reaction
P0CG48	P19387	reaction
P19387	Q96ST2	reaction
P19387	Q92793	binding
Q92793	P19387	binding
P19387	Q7L9B9	reaction
P19387	P52747	binding
P52747	P19387	binding
P19387	Q8WX92	binding
Q8WX92	P19387	binding
P19387	Q8N7H5	reaction
P19387	Q8IUR5	binding
Q8IUR5	P19387	binding
P19387	P08621	reaction
P08621	P19387	reaction
Q9Y535	P19387	reaction
P19387	Q14BN4	binding
Q14BN4	P19387	binding
P19387	P62917	binding
P62917	P19387	binding
P19387	Q86WJ1	binding
Q86WJ1	P19387	binding
P19387	O95402	binding
O95402	P19387	binding
P19387	Q12873	binding
Q12873	P19387	binding
P19387	Q5I0X7	binding
Q5I0X7	P19387	binding
P19387	Q8N4P3	binding
Q8N4P3	P19387	binding
P19387	Q9H5H4	binding
Q9H5H4	P19387	binding
P19387	Q9NVU0	binding
Q9NVU0	P19387	binding
P19387	Q30201	binding
Q30201	P19387	binding
Q7KZ85	P19387	reaction
P19387	Q14839	binding
Q14839	P19387	binding
P19387	Q5T764	binding
Q5T764	P19387	binding
P48431	P19387	catalysis
P19387	Q96EK2	binding
Q96EK2	P19387	binding
P19387	Q8TDI0	binding
Q8TDI0	P19387	binding
P19387	P49450	binding
P49450	P19387	binding
P19387	Q5T653	binding
Q5T653	P19387	binding
P19387	P28370	binding
P28370	P19387	binding
P19387	Q15785	binding
Q15785	P19387	binding
P19387	Q8WXU2	binding
Q8WXU2	P19387	binding
P19387	Q96RK4	binding
Q96RK4	P19387	binding
P19387	O75494	inhibition
P19387	Q8N394	binding
Q8N394	P19387	binding
P19387	Q96CW6	binding
Q96CW6	P19387	binding
P19387	Q07617	binding
Q07617	P19387	binding
P37173	Q9NPB6	binding
Q9NPB6	O94844	activation
O94844	Q9NPB6	activation
Q9NPB6	Q9H5P4	binding
Q9H5P4	Q9NPB6	binding
Q9NPB6	P60953	binding
P60953	Q9NPB6	binding
Q9NPB6	P62745	binding
P62745	Q9NPB6	binding
Q9NPB6	Q8NER5	binding
Q8NER5	Q9NPB6	binding
P36897	Q9NPB6	reaction
Q9NPB6	Q96GD4	ptmod
Q9NPB6	O14640	binding
O14640	Q9NPB6	binding
Q9BYG5	Q9NPB6	reaction
P41743	Q9NPB6	reaction
Q9NPB6	O00238	reaction
O00238	Q9NPB6	reaction
Q9NPB6	Q8TDM6	binding
Q8TDM6	Q9NPB6	binding
Q9NPB6	Q9HAU4	binding
Q9HAU4	Q9NPB6	binding
Q9NPB6	P63000	binding
P63000	Q9NPB6	binding
Q9NPB6	Q9BUF7	binding
Q9BUF7	Q9NPB6	binding
Q9NPB6	Q9H4E5	binding
Q9H4E5	Q9NPB6	binding
Q9NPB6	Q68DX3	binding
Q68DX3	Q9NPB6	binding
Q9NPB6	P37023	binding
P37023	Q9NPB6	binding
Q9NPB6	Q9P202	binding
Q9P202	Q9NPB6	binding
Q8TEW0	Q9NPB6	reaction
Q9NPB6	Q04771	reaction
Q04771	Q9NPB6	reaction
Q9NPB6	P52198	activation
P52198	Q9NPB6	activation
Q8TEW8	Q9NPB6	reaction
Q9NPB6	Q92730	activation
Q92730	Q9NPB6	activation
Q9NPB6	Q9HCE7	binding
P49757	Q9NPB6	binding
Q9NPB6	P17081	activation
P17081	Q9NPB6	activation
Q9NPB6	P36894	binding
P36894	Q9NPB6	binding
Q9NPB6	Q5EBL8	binding
Q5EBL8	Q9NPB6	binding
Q9NPB6	Q96L33	binding
Q96L33	Q9NPB6	binding
P49841	Q9NPB6	catalysis
Q9NPB6	Q05513	binding
Q05513	Q9NPB6	binding
Q9NPB6	Q9BYZ6	binding
Q9BYZ6	Q9NPB6	binding
Q9NPB6	Q96QZ7	binding
Q96QZ7	Q9NPB6	binding
Q9NPB6	O75970	binding
O75970	Q9NPB6	binding
Q9NPB6	P84095	binding
P84095	Q9NPB6	binding
Q9NPB6	Q9UM47	binding
Q9UM47	Q9NPB6	binding
Q9NPB6	Q9Y3R0	binding
Q9Y3R0	Q9NPB6	binding
Q9NPB6	P08134	binding
P08134	Q9NPB6	binding
Q9NPB6	O94955	activation
O94955	Q9NPB6	activation
Q9NPB6	Q13464	catalysis
Q9NPB6	P15153	activation
P15153	Q9NPB6	activation
Q9NPB6	O00212	binding
O00212	Q9NPB6	binding
Q9NPB6	Q9HBH0	activation
Q9HBH0	Q9NPB6	activation
Q9NPB6	Q8N448	binding
Q8N448	Q9NPB6	binding
Q9NPB6	Q9C0E4	binding
Q9C0E4	Q9NPB6	binding
Q9NPB6	Q6P1M3	binding
Q6P1M3	Q9NPB6	binding
Q9NPB6	P61586	reaction
P61586	Q9NPB6	reaction
Q9NPB6	P60763	activation
P60763	Q9NPB6	activation
Q9NPB6	P82279	binding
P82279	Q9NPB6	binding
Q9NPB6	Q5IJ48	binding
Q5IJ48	Q9NPB6	binding
Q9NPB6	Q92997	binding
Q92997	Q9NPB6	binding
Q9NPB6	Q9HD26	binding
Q9HD26	Q9NPB6	binding
Q9NPB6	Q14005	binding
Q14005	Q9NPB6	binding
Q9NPB6	Q7L0Q8	binding
Q7L0Q8	Q9NPB6	binding
Q9NPB6	A4D2P6	binding
A4D2P6	Q9NPB6	binding
Q9NPB6	P36896	reaction
P36896	Q9NPB6	reaction
Q9NPB6	Q8IX03	binding
Q8IX03	Q9NPB6	binding
Q9NPB6	Q5T2T1	binding
Q5T2T1	Q9NPB6	binding
Q9NPB6	P61587	binding
P61587	Q9NPB6	binding
Q9NPB6	Q6AWC2	binding
Q6AWC2	Q9NPB6	binding
Q9NPB6	Q15669	activation
Q15669	Q9NPB6	activation
Q12959	Q9NPB6	catalysis
Q9NPB6	O75116	catalysis
Q9NPB6	P57105	binding
P57105	Q9NPB6	binding
Q9NPB6	Q8TBB1	binding
Q8TBB1	Q9NPB6	binding
Q9NPB6	Q5T2W1	binding
Q5T2W1	Q9NPB6	binding
Q9NPB6	Q04721	binding
Q04721	Q9NPB6	binding
Q9NPB6	O60759	binding
O60759	Q9NPB6	binding
Q9NPB6	Q9ULE0	binding
Q9ULE0	Q9NPB6	binding
Q9NPB6	P12931	catalysis
P51511	P16035	inhibition
P16035	P51511	inhibition
P51511	P35625	inhibition
P35625	P51511	inhibition
P51511	P35222	reaction
P51511	Q99727	inhibition
Q99727	P51511	inhibition
Q6PEW0	P25116	activation
P25116	Q6PEW0	activation
Q6PEW0	Q96RI0	activation
Q96RI0	Q6PEW0	activation
Q6PEW0	O00254	activation
O00254	Q6PEW0	activation
P23109	Q13232	reaction
P04040	Q13232	reaction
Q13232	Q9NW08	binding
Q9NW08	Q13232	binding
Q13232	P61218	binding
P61218	Q13232	binding
Q13232	Q01433	reaction
Q01432	Q13232	reaction
Q13232	Q9Y2Y1	binding
Q9Y2Y1	Q13232	binding
Q13232	Q9H9Y6	binding
Q9H9Y6	Q13232	binding
Q13232	Q9Y2T3	binding
Q9Y2T3	Q13232	binding
Q13232	P30876	binding
P30876	Q13232	binding
Q13232	Q5TCQ9	binding
Q5TCQ9	Q13232	binding
Q13232	P15531	binding
P15531	Q13232	binding
Q13232	P36954	binding
P36954	Q13232	binding
Q13232	P22392	binding
P22392	Q13232	binding
Q13232	O00746	binding
O00746	Q13232	binding
P28065	P51665	reaction
P51665	Q9UNS2	reaction
Q9UBW8	P51665	reaction
P51665	Q6ZYL4	reaction
Q6ZYL4	P51665	reaction
P51665	Q15843	reaction
Q13114	P51665	catalysis
P51665	Q92878	reaction
P61201	P51665	reaction
P51665	P62277	binding
P62277	P51665	binding
P51665	P61247	binding
P61247	P51665	binding
Q13617	P51665	catalysis
O95271	P51665	catalysis
P51665	P62851	binding
P62851	P51665	binding
O60783	P51665	reaction
P08238	P51665	reaction
P51665	P62263	reaction
P51665	Q96IZ7	reaction
P51665	Q92783	binding
Q92783	P51665	binding
P42773	P51665	catalysis
O75821	P51665	reaction
P51665	P25398	reaction
P28072	P51665	reaction
P24941	P51665	catalysis
P51665	Q99460	reaction
A5LHX3	P51665	reaction
O14640	P51665	catalysis
Q16589	P51665	catalysis
Q86XD8	P51665	catalysis
P51665	P25787	binding
P25787	P51665	binding
P51665	Q9BYD3	binding
Q9BYD3	P51665	binding
P51665	P20042	reaction
P20042	P51665	reaction
P51665	Q13098	binding
Q13098	P51665	binding
Q96Q27	P51665	catalysis
P51665	P40306	reaction
P40306	P51665	reaction
P0CG47	P51665	catalysis
P51665	P60900	binding
P60900	P51665	binding
P29965	P51665	catalysis
P51665	P28070	binding
P28070	P51665	binding
Q9HB75	P51665	catalysis
P51665	Q71UM5	reaction
P51665	P62241	reaction
P62241	P51665	reaction
O15084	P51665	catalysis
P28074	P51665	reaction
Q9NWX5	P51665	catalysis
Q9H0M0	P51665	catalysis
Q13042	P51665	catalysis
Q9Y283	P51665	catalysis
Q13616	P51665	catalysis
P67775	P51665	catalysis
Q9Y2X8	P51665	catalysis
P62857	P51665	reaction
P51665	Q99728	catalysis
Q12933	P51665	catalysis
Q14997	P51665	reaction
P62979	P51665	catalysis
P41002	P51665	catalysis
Q8WWL7	P51665	catalysis
P42771	P51665	catalysis
P51665	P62269	binding
P62269	P51665	binding
Q9BQI6	P51665	catalysis
P51665	P23396	reaction
P23396	P51665	reaction
P51665	P62333	binding
P62333	P51665	binding
O15372	P51665	reaction
P24385	P51665	catalysis
P55884	P51665	reaction
Q86Y37	P51665	catalysis
P25786	P51665	reaction
Q9UBQ5	P51665	reaction
P51665	Q9Y5K5	reaction
P61024	P51665	catalysis
Q9HCD6	P51665	catalysis
Q9BXX3	P51665	catalysis
Q00534	P51665	catalysis
P62195	P51665	reaction
O00487	P51665	reaction
P62249	P51665	reaction
P62191	P51665	reaction
Q9UNM6	P51665	reaction
Q99436	P51665	reaction
P51665	P36578	binding
P36578	P51665	binding
P51665	O00233	reaction
O00233	P51665	reaction
P51665	P62273	binding
P62273	P51665	binding
P61077	P51665	catalysis
P51665	O43242	reaction
P51665	Q15008	reaction
Q15008	P51665	reaction
P51665	O75886	binding
O75886	P51665	binding
Q8WXH4	P51665	catalysis
P60866	P51665	reaction
P11441	P51665	catalysis
P51665	Q6ZVN7	reaction
P51665	B5ME19	reaction
B5ME19	P51665	reaction
P49840	P51665	catalysis
P51665	Q14152	reaction
Q14152	P51665	reaction
P28062	P51665	reaction
Q9HAU4	P51665	catalysis
Q8WXK4	P51665	catalysis
P51665	P62753	reaction
P62753	P51665	reaction
Q99549	P51665	catalysis
P51665	P46782	binding
P46782	P51665	binding
P51665	P35998	reaction
P35998	P51665	reaction
P63220	P51665	reaction
P51665	P62854	binding
P62854	P51665	binding
O00221	P51665	catalysis
Q6ZVZ8	P51665	catalysis
P62847	P51665	reaction
Q9C0D5	P51665	catalysis
O95478	P51665	reaction
Q8IYU2	P51665	catalysis
O00231	P51665	catalysis
Q8N2N9	P51665	catalysis
Q9Y576	P51665	catalysis
P82914	P51665	reaction
Q9H2K2	P51665	catalysis
P51965	P51665	catalysis
P51665	Q99613	binding
Q99613	P51665	binding
P51959	P51665	catalysis
P07900	P51665	reaction
P51665	P20618	binding
P20618	P51665	binding
P51665	P62280	reaction
Q13257	P51665	catalysis
Q9H9Q2	P51665	reaction
P11802	P51665	catalysis
P51665	Q5VYK3	binding
Q5VYK3	P51665	binding
P28066	P51665	reaction
P51665	Q8TAA3	reaction
P51665	P55036	binding
P55036	P51665	binding
Q8N8A2	P51665	catalysis
Q9BQG2	P51665	catalysis
Q96Q40	P51665	catalysis
P51665	Q00653	binding
Q00653	P51665	binding
Q9UPX8	P51665	catalysis
Q495M9	P51665	catalysis
Q9NU02	P51665	catalysis
Q8N594	P51665	reaction
P30260	P51665	catalysis
P51665	P62701	reaction
P62701	P51665	reaction
O15169	P51665	catalysis
Q5TYW2	P51665	catalysis
Q9ULI0	P51665	reaction
P51665	O00232	reaction
O00232	P51665	reaction
P51665	Q92560	binding
Q92560	P51665	binding
Q96DX5	P51665	catalysis
O96017	P51665	reaction
P51665	O15205	reaction
P19838	P51665	catalysis
P16157	P51665	catalysis
P51665	P46783	reaction
P46783	P51665	reaction
P51665	Q9Y2R9	reaction
Q9Y2R9	P51665	reaction
P51665	P60228	reaction
Q9H672	P51665	catalysis
P51665	Q5VVJ2	binding
Q5VVJ2	P51665	binding
P17980	P51665	reaction
A6NGH8	P51665	catalysis
P49720	P51665	reaction
P51665	P39019	reaction
P39019	P51665	reaction
P51665	P82912	reaction
P82912	P51665	reaction
P51665	Q9BY44	reaction
Q14094	P51665	catalysis
Q9Y2T1	P51665	catalysis
Q96HA7	P51665	catalysis
P46736	P51665	reaction
Q6Q0C0	P51665	catalysis
P51665	P54727	binding
P54727	P51665	binding
Q96AX9	P51665	catalysis
Q15653	P51665	catalysis
P20248	P51665	catalysis
Q8N7F7	P51665	catalysis
Q8WXI3	P51665	catalysis
P51665	O14562	binding
O14562	P51665	binding
Q92997	P51665	catalysis
Q8IWZ3	P51665	catalysis
O75179	P51665	catalysis
Q9Y2G4	P51665	catalysis
P51665	Q13200	reaction
Q8WXK3	P51665	catalysis
Q00526	P51665	catalysis
P51665	O14818	binding
O14818	P51665	binding
Q1L5Z9	P51665	reaction
Q7Z713	P51665	catalysis
Q6ZVH7	P51665	catalysis
Q8IV13	P51665	catalysis
O94921	P51665	catalysis
Q15646	P51665	catalysis
P51665	P05198	binding
P05198	P51665	binding
P60484	P51665	catalysis
P51665	P54725	binding
P54725	P51665	binding
Q8WWH4	P51665	catalysis
Q8NI38	P51665	catalysis
P62987	P51665	reaction
P55273	P51665	catalysis
P51665	Q8WVY7	binding
Q8WVY7	P51665	binding
P51665	Q5JVF3	binding
Q5JVF3	P51665	binding
P51665	Q16186	reaction
Q16186	P51665	reaction
P55072	P51665	reaction
Q8N8V4	P51665	catalysis
Q13618	P51665	catalysis
Q9GZV1	P51665	catalysis
P51668	P51665	catalysis
Q8NAG6	P51665	catalysis
Q9Y574	P51665	catalysis
P51665	Q9BT78	catalysis
P62714	P51665	catalysis
Q6ZW76	P51665	catalysis
P51665	P62841	reaction
O96020	P51665	catalysis
P78396	P51665	catalysis
P46527	P51665	catalysis
P22674	P51665	catalysis
Q76N89	P51665	catalysis
Q9H765	P51665	catalysis
O95067	P51665	catalysis
Q99627	P51665	catalysis
Q9Y566	P51665	catalysis
P51665	Q7L2H7	reaction
Q7L2H7	P51665	reaction
Q9Y6H5	P51665	catalysis
P49841	P51665	catalysis
Q16659	P51665	catalysis
Q9BYH8	P51665	catalysis
O00762	P51665	catalysis
Q00537	P51665	catalysis
Q6P6B7	P51665	catalysis
P14635	P51665	catalysis
Q8TC84	P51665	catalysis
A6NHY2	P51665	catalysis
Q8WXK1	P51665	catalysis
Q68DC2	P51665	catalysis
P42772	P51665	catalysis
Q07002	P51665	catalysis
P49721	P51665	reaction
P51665	Q9Y4E8	binding
Q9Y4E8	P51665	binding
Q96NS5	P51665	catalysis
Q9ULJ7	P51665	catalysis
A6NK59	P51665	catalysis
Q13177	P51665	catalysis
Q05823	P51665	catalysis
Q6ZMN8	P51665	catalysis
Q53RE8	P51665	catalysis
Q86SG2	P51665	catalysis
Q15327	P51665	catalysis
Q9NXR5	P51665	catalysis
Q8NB46	P51665	catalysis
Q99466	P51665	catalysis
P51665	Q9ULD6	binding
Q9ULD6	P51665	binding
Q495B1	P51665	catalysis
P0CG48	P51665	catalysis
Q96BM1	P51665	catalysis
Q9Y297	P51665	catalysis
P51665	Q9Y262	reaction
Q9Y262	P51665	reaction
P63208	P51665	catalysis
P62837	P51665	catalysis
P38936	P51665	catalysis
Q9P2R3	P51665	catalysis
P06493	P51665	catalysis
Q00536	P51665	catalysis
P24864	P51665	catalysis
Q7Z5J8	P51665	catalysis
Q8WWX0	P51665	catalysis
Q9Y575	P51665	catalysis
Q86YT6	P51665	catalysis
P51665	P54578	binding
P54578	P51665	binding
Q9NYG5	P51665	catalysis
Q8N9V6	P51665	catalysis
Q04206	Q8TBK2	catalysis
Q00653	Q8TBK2	catalysis
P19838	Q8TBK2	catalysis
Q9NY59	P01375	catalysis
Q9NY59	P63244	binding
P63244	Q9NY59	binding
Q8NCC3	Q96PD7	binding
Q96PD7	Q8NCC3	binding
Q8NCC3	Q58HT5	binding
Q58HT5	Q8NCC3	binding
Q8NCC3	Q86VF5	binding
Q86VF5	Q8NCC3	binding
Q8NCC3	Q14693	binding
Q14693	Q8NCC3	binding
Q8NCC3	Q9UBF6	binding
Q9UBF6	Q8NCC3	binding
Q8NCC3	O00562	binding
O00562	Q8NCC3	binding
Q8NCC3	Q6E213	binding
Q6E213	Q8NCC3	binding
Q8NCC3	P48739	binding
P48739	Q8NCC3	binding
Q8NCC3	Q9BZ71	binding
Q9BZ71	Q8NCC3	binding
Q8NCC3	Q9BZ72	binding
Q9BZ72	Q8NCC3	binding
Q8NCC3	Q00169	binding
Q00169	Q8NCC3	binding
Q8NCC3	Q9BQK8	binding
Q9BQK8	Q8NCC3	binding
Q8NCC3	Q92539	binding
Q92539	Q8NCC3	binding
Q8NCC3	Q6ZPD8	binding
Q6ZPD8	Q8NCC3	binding
Q8NCC3	Q96PD6	binding
Q96PD6	Q8NCC3	binding
Q8NCC3	Q9UKF7	binding
Q9UKF7	Q8NCC3	binding
Q7L5A8	Q9Y3D7	catalysis
Q7L5A8	Q5SRD1	catalysis
Q7L5A8	Q99595	binding
Q99595	Q7L5A8	binding
Q7L5A8	Q3ZCQ8	catalysis
Q7L5A8	O60830	catalysis
